成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[6.55, 7.415]","[6.135, 6.29]","[0.0127, 0.0129]","[57.35, 97.92]","[25.2514, 25.75]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.12400172127622697,1,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[7.415, 9.155]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[25.2514, 25.75]","[27.85, 27.95]","[23693.75, 24750.0]","[5.265, 6.93]",1.0,1.5061792907688059,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.135, 6.29]","[0.0127, 0.0129]","[45.95, 57.35]","[25.75, 26.15]","[27.7, 27.85]","[23693.75, 24750.0]","[5.265, 6.93]",0.0,1.3993339180493247,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[7.415, 9.155]","[6.135, 6.29]","[0.0127, 0.0129]","[35.6, 45.95]","[25.2514, 25.75]","[27.85, 27.95]","[23693.75, 24750.0]","[5.265, 6.93]",1.0,0.7721959166760877,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[7.415, 9.155]","[6.135, 6.29]","[0.0127, 0.0129]","[57.35, 97.92]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[5.265, 6.93]",1.0,0.7887261440956976,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[9.155, 9.585]","[6.115, 6.135]","[0.013, 0.0132]","[33.105, 35.6]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[4.805, 4.915]",1.0,2.0314901693726863,18,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,2.9193545587826164,25,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[33.105, 35.6]","[25.75, 26.15]","[27.85, 27.95]","[23693.75, 24750.0]","[4.805, 4.915]",1.0,1.1690084440578539,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[9.155, 9.585]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[26.35, 27.9]","[28.05, 28.155]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,1.059084788982621,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[9.155, 9.585]","[6.045, 6.115]","[0.0127, 0.0129]","[33.105, 35.6]","[26.15, 26.35]","[27.85, 27.95]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,1.2179466632407183,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[45.95, 57.35]","[25.2514, 25.75]","[28.05, 28.155]","[22972.5, 23693.75]","[4.915, 5.145]",0.0,0.9754156506261111,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[35.6, 45.95]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,0.49265615818861885,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[13.11, 33.105]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[4.805, 4.915]",1.0,1.1094618805428875,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[7.415, 9.155]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[26.35, 27.9]","[27.95, 28.05]","[23693.75, 24750.0]","[4.915, 5.145]",0.0,1.6026761317542773,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[7.415, 9.155]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[26.15, 26.35]","[27.85, 27.95]","[23693.75, 24750.0]","[4.915, 5.145]",2.0,0.4945347163098866,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
"[7.415, 9.155]","[6.045, 6.115]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[28.05, 28.155]","[22972.5, 23693.75]","[4.915, 5.145]",0.0,0.9900995291151788,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",244,0.08196721311475409,0.12349567658729015
