检验日期	钢线线径	槽轮槽距	班次	单晶编号	验证类型	异常类型	线径	切割时间	切割刀号	切割机台	配方编码	前后排别	排别	成品电导率	成品PH值	成品浓度	成品浊度	成品温度	成品表面张力	成品COD	柠檬酸	置换量	离子液添加量	原液添加比例	清液池电导率	清液池PH	清液池浓度	清液池温度	清液池COD	线痕	TTV
2024-08-14	32	181.5	白班	CLPC295240740503D72N03	0.6-1.6	跳线	0.032	2024/8/14 4:42	N1B3082408131122	XQ-B3-08	G12-XXSD-110A	B3前排	B排	7.96	6.14	1.27%	32	26.2	28	24512.5	4米调配	5.00%	7.00%	0.73 	7.94	5.9	0.0124 	24	24000	30	22
2024-08-13	28	176.5	夜班	CLPC295240740503D72N04	0.6-1.6	#N/A	0.028	2024/8/13 23:18	N1B1152408130992	XQ-B1-15	G12-130-H26-FQ-29	B1后排	B排	8.03	6.11	1.27%	42.4	25	27.9	24455	0	5.00%	7.00%	0.73 	7.73	5.79	0.0124 	24.8	24025	0	1
2024-08-13	32	181.5	夜班	CLPC295240740702D42Y02F2F1	0.6-1.6	#N/A	0.032	2024/8/14 1:54	N2B4032408131132	XQ-B4-03	G12-XXSD-110A	B4前排	B排	7.96	6.18	1.26%	36.3	24.9	27.9	24455	0	5.00%	7.00%	0.73 	7.8	5.84	0.0123 	24.2	24025	20	5
2024-08-14	32	181.5	白班	CLPC295240740702D52Y02	0.6-1.6	#N/A	0.032	2024/8/14 8:39	N1B3062408131142	XQ-B3-06	G12-XXSD-110A	B3前排	B排	7.76	6.17	1.27%	35.9	24.9	28	24512.5	4米调配	5.00%	7.00%	0.73 	7.78	5.86	0.0123 	23.6	24000	5	11
2024-08-14	28	176.5	夜班	CLPC295240740702D52Y03	0.6-1.6	#N/A	0.028	2024/8/14 13:23	N1B1122408140681	XQ-B1-12	G12130-H26-FQ-29	B1后排	B排	7.19	6.21	1.26%	37	26.1	27.8	24512.5	4米调配	5.00%	7.00%	0.73 	7.57	5.91	0.0123 	24.6	24000	1	1
2024-08-14	32	181.5	夜班	CLPC295240740702D52Y04	0.6-1.6	断缝	0.032	2024/8/14 8:28	N1B3022408131222	XQ-B3-02	G12-XXSD-110A	B3前排	B排	7.85	6.12	1.27%	39.1	24.8	27.9	24512.5	0	5.00%	7.00%	0.73 	7.78	5.86	0.0123 	23.6	24000	1	11
2024-08-14	28	175	白班	CLPC295240740702D52Y05	0.6-1.6	加切	0.028	2024/8/14 2:38	N1B1102408130772	XQ-B1-10	G12130-H26-FQ-29	B1后排	B排	7.89	6.14	1.26%	71.8	25	28	24512.5	0	5.00%	7.00%	0.73 	7.84	5.83	0.0124 	24.3	24000	0	1
2024-08-13	32	181.5	夜班	CLPC295240740902D32Y02	0.6-1.6	#N/A	0.032	2024/8/13 16:55	N1B3052408131061	XQ-B3-05	G12-XXSD-110A	B3前排	B排	8.04	6.18	1.26%	54.4	25.4	28.1	24455	0	5.52%	7.00%	0.82 	7.44	5.8	0.0124 	25.2	24025	22	2
2024-08-13	32	181.5	白班	CLPC295240740902D32Y03	0.6-1.6	断缝	0.032	2024/8/12 23:04	N1B3032408121022	XQ-B3-03	G12-XXSD-110A	B3前排	B排	8.44	6.15	1.29%	28.9	24.7	28.2	24770	0	6.00%	7.00%	0.85 	7.79	5.8	0.0126 	24.6	24255	7	3
2024-08-13	32	181.5	白班	CLPC295240740902D32Y04	0.6-1.6	#N/A	0.032	2024/8/13 6:24	N1B3012408120972	XQ-B3-01	G12-XXSD-110A	B3前排	B排	8.56	6.08	1.28%	37.5	24.9	28.1	24780	0	5.52%	7.00%	0.82 	7.78	5.8	0.0126 	23.7	24285	1	9
2024-08-13	28	176.5	白班	CLPC295240740902D32Y05	0.6-1.6	加切	0.028	2024/8/13 1:58	N1B2132408120952	XQ-B2-13	G12130-H26-FQ-29	B2后排	B排	7.58	6.14	1.28%	31.6	25.1	28	24770	0	5.52%	7.00%	0.82 	7.67	5.82	0.0126 	24.1	24255	2	1
2024-08-13	28	176.5	夜班	CLPC295240740902D32Y06W	0.6-1.6	#N/A	0.028	2024/8/14 0:45	N1B2152408130962	XQ-B2-15	G12-130-H26-FQ-29	B2后排	B排	8.04	6.17	1.27%	42.3	24.9	27.8	24455	0	5.00%	7.00%	0.74 	7.8	5.84	0.0123 	24.2	24025	0	0
2024-08-12	32	181.5	白班	CLPC295240741902D72Y02	0.6-1.6	跳线	0.032	2024/8/12 8:59	N1B3012408110902	XQ-B3-01	G12-XXSD-110A	B3前排	B排	8.09	6.14	1.28%	37.5	25.8	27.9	24782.5	0	6.00%	7.00%	0.85 	7.93	5.88	0.0127 	23.1	24310	0	4
2024-08-12	32	181.5	白班	CLPC295240741902D72Y03	0.6-1.6	#N/A	0.032	2024/8/12 6:59	N1B3012408110892	XQ-B3-01	G12-XXSD-110A	B3前排	B排	8.16	6.08	1.29%	35.5	25.5	27.9	24782.5	0	6.00%	7.00%	0.85 	7.93	5.88	0.0127 	23.1	24310	2	2
2024-08-12	32	181.5	白班	CLPC295240741902D72Y04	0.6-1.6	加切	0.032	2024/8/12 7:45	N1B3082408110992	XQ-B3-08	G12-XXSD-110A	B3前排	B排	8.09	6.14	1.28%	37.5	25.8	27.9	24782.5	0	6.00%	7.00%	0.85 	7.93	5.88	0.0127 	23.1	24310	36	27
2024-08-12	28	175	白班	CLPC295240741902D72Y05	0.6-1.6	#N/A	0.028	2024/8/12 1:51	N1B1132408110752	XQ-B1-13	G12130-H26-FQ-XXSD	B1后排	B排	8.2	6.21	1.29%	34.8	25.4	28	24630	0	6.00%	7.00%	0.85 	8.02	5.87	0.0126 	23.7	24255	1	2
2024-08-13	32	181.5	白班	CLPC295240741902D72Y06	0.6-1.6	#N/A	0.032	2024/8/13 4:39	N2B4032408121042	XQ-B4-03	G12-XXSD-110A	B4前排	B排	7.68	6.13	1.27%	45.8	25.5	27.9	24780	0	5.52%	7.00%	0.82 	7.89	5.8	0.0126 	23.9	24285	0	10
2024-08-14	32	181.5	夜班	CLPC295240742102D62W03	0.6-1.6	#N/A	0.032	2024/8/14 15:47	N1B3082408141161	XQ-B3-08	G12-YS33-130-110	B3前排	B排	7.46	6.17	1.27%	34.6	25.9	27.8	24800	0	5.00%	7.00%	0.73 	7.2	5.93	0.0123 	23.9	24375	35	75
2024-08-14	32	181.5	夜班	CLPC295240742102D62W04	0.6-1.6	#N/A	0.032	2024/8/14 20:43	N1B3062408141191	XQ-B3-06	G12-XXSD-110A	B3前排	B排	7.4	6.29	1.27%	39.7	25.7	27.9	24800	0	5.00%	6.00%	0.74 	7.23	5.92	0.0123 	24.2	24375	5	6
2024-08-14	32	181.5	夜班	CLPC295240742102D62W05	0.6-1.6	#N/A	0.032	2024/8/14 20:54	N1B3042408141271	XQ-B3-04	G12-XXSD-110A	B3前排	B排	7.4	6.29	1.27%	39.7	25.7	27.9	24800	0	5.00%	6.00%	0.74 	7.23	5.92	0.0123 	24.2	24375	3	27
2024-08-13	32	181.5	夜班	CLPC295240742402D42Y02	0.6-1.6	#N/A	0.032	2024/8/13 15:40	N1B3082408131081	XQ-B3-08	G12-XXSD-110A	B3前排	B排	8.04	6.18	1.26%	54.4	25.4	28.1	24455	0	5.52%	7.00%	0.82 	7.65	5.83	0.0124 	24.9	24025	42	90
2024-08-13	32	181.5	夜班	CLPC295240742402D42Y03	0.6-1.6	跳线	0.032	2024/8/13 19:28	N1B3052408131071	XQ-B3-05	G12-XXSD-110A	B3前排	B排	8.04	6.17	1.26%	47.4	25.8	28	24455	0	5.52%	7.00%	0.82 	7.97	5.83	0.0124 	24.8	24025	3	2
2024-08-13	28	175	夜班	CLPC295240742402D42Y04	0.6-1.6	#N/A	0.028	2024/8/13 12:11	N1B1142408130801	XQ-B1-14	G12-130-H26-FQ-29	B1后排	B排	7.8	6.1	1.27%	42.9	26	28.1	24780	4米调配	5.45%	7.00%	0.82 	7.79	5.81	0.0126 	24.5	24285	0	1
2024-08-13	32	181.5	白班	CLPC295240742402D42Y05	0.6-1.6	跳线	0.032	2024/8/13 11:13	N1B4122408131131	XQ-B4-12	G12-XXSD-110A	B4后排	B排	7.77	6.15	1.26%	60.3	25.6	28	24780	0	5.45%	7.00%	0.82 	7.52	5.78	0.0126 	24.3	24285	81	13
2024-08-12	28	176.5	白班	CLPC295240742602D42Y02	0.6-1.6	#N/A	0.028	2024/8/12 4:07	N1B2132408110882	XQ-B2-13	G12130-H26-FQ-29	B2后排	B排	8.08	6.14	1.28%	36.9	25.6	28	24782.5	0	6.00%	7.00%	0.85 	8.17	5.79	0.0127 	22.9	24310	1	2
